State,District,Latitude,Longitude,Population,Male Population,Female population,Literate,Male Literate,Female Literate,SC,Male SC,Female SC,ST,Male ST,Female ST,Workers,Male Workers,Female Workers,Non Workers,Agricultural Workers,Other Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others Religions,LPG PNG Households,Housholds with Electricity,Households with Internet,Households with Computer,Below Primary Education,Primary Education,Secondary Education,Graduate Education,Other Education,Age 0-29,Age 30-49,Above 50,Households with Television,Households with Telephone Mobile Phone,Sex Ratio,Literacy Rate,Male Unliterate,Female Unliterate
Rajasthan,Alwar,27.55271738035265,76.65359630562563,3674179,1939026,1735153,2182476,1359829,822647,653036,342938,310098,289249,153397,135852,1708542,994171,714371,1965637,216772,558317,3039279,547335,2696,64532,4384,13221,348,123478,485723,9750,45770,492781,492981,324050,222622,31390,2346721,836000,490137,258862,477446,89.0,59.0,579197,912506
Rajasthan,Banswara,23.453642032967014,74.44246868131869,1797485,907754,889731,829343,513854,315489,80091,40639,39452,1372999,690476,682523,916574,482236,434338,880911,199370,150817,1701234,48834,22250,427,138,22613,109,34189,120603,2324,15062,240067,190259,75011,47094,8145,1153029,406214,216554,48693,108760,98.0,46.0,393900,574242
Rajasthan,Baran,24.98023243243244,76.86210651828291,1222755,633945,588810,693307,432607,260700,221184,114969,106215,276857,143094,133763,552583,329754,222829,670172,185037,135750,1133349,79984,1432,3066,84,2795,48,32685,161310,1363,9491,203489,194024,76209,49939,8057,762204,286344,173100,88344,150412,93.0,57.0,201338,328110
Rajasthan,Barmer,25.77070908045978,71.50297126436782,2603751,1369022,1234729,1188322,783461,404861,436414,228431,207983,176257,92610,83647,1202482,696240,506242,1401269,132696,284961,2244882,321192,1157,450,157,34010,34,39580,126494,2766,37730,406804,352636,101291,39533,7328,1731122,527629,326476,52926,299183,90.0,46.0,585561,829868
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,2548462,1355726,1192736,1480869,943910,536959,557305,296293,261012,54090,28705,25385,1071154,647198,423956,1477308,238894,306198,2143046,371286,1576,23456,899,5758,18,61113,288723,4179,26106,363676,330336,211938,132571,23311,1659515,546362,329127,160190,303255,88.0,58.0,411816,655777
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,2408523,1220736,1187787,1256126,777582,478544,407947,206332,201615,229273,117026,112247,1148165,674589,473576,1260358,163052,399796,2224839,142427,1978,1468,183,35149,60,93768,373644,6207,24014,398993,338296,141250,106667,10928,1439454,589476,365023,175393,341043,97.0,52.0,443154,709243
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,2363937,1240801,1123136,1278801,782399,496402,493646,259532,234114,7779,4207,3572,986208,640572,345636,1377729,103833,356908,2073356,235741,1901,20072,285,30850,79,108812,220793,7607,29531,410155,333211,143669,101714,18577,1543867,517271,288165,138480,287946,91.0,54.0,458402,626734
Rajasthan,Bundi,25.48580716049379,75.79984074074079,1110906,577160,533746,585044,371705,213339,210788,109333,101455,228549,119454,109095,526091,314806,211285,584815,111388,153078,1017688,66609,682,11059,144,13455,24,33406,136969,1392,7705,153500,159218,63248,41052,6460,686771,267648,155958,78692,143433,92.0,53.0,205455,320407
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,1544338,783171,761167,821825,514851,306974,250224,126748,123476,201546,101893,99653,802755,456632,346123,741583,123469,210650,1413163,97855,1274,1515,252,25843,136,59190,268172,4941,16560,245603,225700,90889,67155,10768,880043,398303,258997,119801,223599,97.0,53.0,268320,454193
Rajasthan,Churu,28.29330375536484,74.65846427038629,2039547,1051446,988101,1149269,696729,452540,451721,235113,216608,11245,5903,5342,902829,541404,361425,1136718,87983,225608,1777879,249736,958,402,188,7104,127,74197,231696,2577,15259,336671,302022,161520,77282,13320,1293193,458725,272176,131174,268431,94.0,56.0,354717,535561
